Product_ID,Brand,Product_Name,Category,Date,Units_Sold,Rating,Review,Price_Per_Unit
PROD4068,Godrej,Wheat Flour,Grocery,2023-01-01,324,5,Works well,561.58
PROD1333,Amul,Cooking Oil,Grocery,2023-02-04,498,5,Value for money,812.79
PROD6850,Tata,Wheat Flour,Grocery,2023-11-22,208,3,It’s okay,1472.51
PROD3185,Patanjali,Wheat Flour,Grocery,2023-12-03,331,5,Loved it,200.31
PROD3986,ITC,Wheat Flour,Grocery,2023-06-23,426,4,Works well,982.05
PROD1686,HUL,Basmati Rice,Grocery,2023-08-23,28,1,Poor quality,475.49
PROD4131,ITC,Wheat Flour,Grocery,2023-07-23,427,3,It’s okay,837.39
PROD7029,Reliance,Wheat Flour,Grocery,2023-01-25,453,3,It’s okay,1000.81
PROD9129,HUL,Wheat Flour,Grocery,2023-08-14,468,3,Average product,1436.89
PROD8055,Reliance,Wheat Flour,Grocery,2023-09-23,146,4,Excellent product,1211.66
PROD8305,Amul,Cooking Oil,Grocery,2023-06-14,62,3,Fine,166.1
PROD8126,HUL,Basmati Rice,Grocery,2023-08-16,189,3,Could be better,698.34
PROD9406,Reliance,Cooking Oil,Grocery,2023-01-30,48,4,Loved it,1023.22
PROD2101,Patanjali,Basmati Rice,Grocery,2023-11-08,357,1,Poor quality,1182.9
PROD3513,Amul,Cooking Oil,Grocery,2023-07-05,206,1,Disappointed,1426.73
PROD7012,Amul,Wheat Flour,Grocery,2023-08-16,400,2,Disappointed,161.48
PROD9176,HUL,Wheat Flour,Grocery,2023-05-23,137,1,Poor quality,1442.75
PROD5678,Tata,Cooking Oil,Grocery,2023-05-15,406,4,Very good quality,427.42
PROD2438,Tata,Basmati Rice,Grocery,2023-03-11,446,2,Stopped working,157.38
PROD3580,Amul,Cooking Oil,Grocery,2023-12-30,43,3,Fine,847.5
PROD9094,ITC,Wheat Flour,Grocery,2023-04-25,72,2,Poor quality,1478.44
PROD2412,ITC,Wheat Flour,Grocery,2023-10-21,198,5,Very good quality,727.74
PROD2208,Godrej,Wheat Flour,Grocery,2023-09-03,279,4,Value for money,645.65
PROD3102,HUL,Wheat Flour,Grocery,2023-02-07,240,5,Loved it,725.46
PROD3507,Godrej,Basmati Rice,Grocery,2023-09-15,476,1,Disappointed,1308.91
PROD5653,Patanjali,Basmati Rice,Grocery,2023-06-15,488,3,Could be better,1078.53
PROD9740,Patanjali,Wheat Flour,Grocery,2023-11-22,499,2,Very bad experience,848.72
PROD6531,HUL,Cooking Oil,Grocery,2023-03-28,313,2,Poor quality,1415.33
PROD4453,Tata,Basmati Rice,Grocery,2023-01-24,495,5,Loved it,980.11
PROD5949,HUL,Cooking Oil,Grocery,2023-01-16,264,5,Loved it,1339.05
PROD3589,Reliance,Basmati Rice,Grocery,2023-12-17,217,1,Not worth it,481.28
PROD6231,Godrej,Wheat Flour,Grocery,2023-08-26,114,2,Very bad experience,543.28
PROD8642,Patanjali,Wheat Flour,Grocery,2023-07-09,273,3,Average product,864.39
PROD7850,Godrej,Wheat Flour,Grocery,2023-05-07,82,3,Neutral feeling,190.38
PROD3610,Reliance,Basmati Rice,Grocery,2023-06-17,488,3,Average product,887.65
PROD7442,Godrej,Cooking Oil,Grocery,2023-09-13,460,1,Not worth it,497.38
PROD8710,Patanjali,Basmati Rice,Grocery,2023-10-26,190,3,Neutral feeling,120.55
PROD7606,Tata,Cooking Oil,Grocery,2023-02-25,230,3,Fine,244.21
PROD5728,Godrej,Basmati Rice,Grocery,2023-01-27,301,3,Could be better,864.63
PROD2946,ITC,Wheat Flour,Grocery,2023-08-19,401,5,Value for money,847.29
PROD3363,Godrej,Basmati Rice,Grocery,2023-07-11,416,5,Loved it,1480.84
PROD6456,ITC,Cooking Oil,Grocery,2023-07-25,266,1,Poor quality,108.37
PROD6218,Godrej,Cooking Oil,Grocery,2023-03-18,320,2,Very bad experience,1345.04
PROD9025,ITC,Wheat Flour,Grocery,2023-06-03,313,5,Value for money,537.74
PROD6040,Reliance,Wheat Flour,Grocery,2023-01-09,198,1,Stopped working,530.3
PROD4728,Godrej,Cooking Oil,Grocery,2023-05-16,345,5,Value for money,1185.21
PROD3421,Godrej,Cooking Oil,Grocery,2023-03-29,278,5,Works well,962.09
PROD7861,ITC,Basmati Rice,Grocery,2023-12-25,66,4,Loved it,326.64
PROD2020,HUL,Wheat Flour,Grocery,2023-04-15,220,5,Works well,777.64
PROD7173,Patanjali,Cooking Oil,Grocery,2023-10-15,176,4,Value for money,1497.28
PROD8932,Godrej,Basmati Rice,Grocery,2023-09-30,185,3,Could be better,842.1
PROD4396,Amul,Basmati Rice,Grocery,2023-10-13,162,3,Fine,376.06
PROD2996,Godrej,Wheat Flour,Grocery,2023-06-28,296,3,Fine,1403.87
PROD1689,Reliance,Wheat Flour,Grocery,2023-06-26,498,2,Very bad experience,1170.94
PROD4505,Tata,Cooking Oil,Grocery,2023-06-27,483,3,Neutral feeling,691.45
PROD4920,Amul,Cooking Oil,Grocery,2023-10-15,366,1,Disappointed,443.85
PROD7771,HUL,Basmati Rice,Grocery,2023-09-29,125,1,Not worth it,975.02
PROD3587,Godrej,Cooking Oil,Grocery,2023-02-21,358,1,Disappointed,1167.61
PROD5676,Godrej,Cooking Oil,Grocery,2023-09-02,343,3,Fine,339.21
PROD7846,HUL,Basmati Rice,Grocery,2023-10-21,128,1,Poor quality,825.97
PROD1151,Reliance,Basmati Rice,Grocery,2023-07-23,413,3,It’s okay,768.31
PROD9901,ITC,Cooking Oil,Grocery,2023-02-24,485,3,Neutral feeling,1475.34
PROD3662,Reliance,Basmati Rice,Grocery,2023-09-16,249,1,Very bad experience,445.61
