Product_ID,Brand,Product_Name,Category,Date,Units_Sold,Rating,Review,Price_Per_Unit
PROD2424,HUL,Shampoo,FMCG,21-05-2023,135,1,Disappointed,373.66
PROD4257,Tata,Shampoo,FMCG,17-02-2023,121,5,Excellent product,387.36
PROD7924,Godrej,Shampoo,FMCG,29-10-2023,152,1,Poor quality,1223.67
PROD7224,Patanjali,Soap,FMCG,21-04-2023,500,1,Not worth it,1157.07
PROD9785,Reliance,Soap,FMCG,26-06-2023,319,1,Stopped working,433.56
PROD4150,Tata,Soap,FMCG,10-10-2023,160,5,Loved it,1252.64
PROD2654,HUL,Shampoo,FMCG,27-04-2023,405,1,Poor quality,469.61
PROD4432,Godrej,Soap,FMCG,22-11-2023,437,3,Fine,579.01
PROD5010,HUL,Toothpaste,FMCG,28-11-2023,46,2,Disappointed,933.24
PROD6313,Godrej,Soap,FMCG,19-05-2023,483,5,Very good quality,978
PROD4456,Reliance,Shampoo,FMCG,17-01-2023,422,3,Fine,507.41
PROD5339,HUL,Shampoo,FMCG,13-09-2023,212,4,Very good quality,1332.79
PROD7543,HUL,Shampoo,FMCG,15-10-2023,285,5,Works well,430.98
PROD3504,Patanjali,Shampoo,FMCG,18-09-2023,262,1,Not worth it,181.82
PROD9669,Godrej,Toothpaste,FMCG,02-11-2023,42,5,Works well,607.91
PROD6573,Reliance,Toothpaste,FMCG,06-01-2023,358,5,Loved it,1095.05
PROD3927,Godrej,Soap,FMCG,22-03-2023,242,3,Could be better,54.71
PROD3646,Amul,Toothpaste,FMCG,24-11-2023,269,2,Very bad experience,933.01
PROD4923,Amul,Toothpaste,FMCG,08-09-2023,19,3,Fine,212.21
PROD3060,ITC,Shampoo,FMCG,10-02-2023,53,1,Disappointed,1111.27
PROD4470,Godrej,Toothpaste,FMCG,09-10-2023,94,5,Works well,434.33
PROD8397,Amul,Toothpaste,FMCG,24-07-2023,353,4,Value for money,992.32
PROD4608,Patanjali,Shampoo,FMCG,02-02-2023,183,5,Very good quality,80.5
PROD2160,HUL,Shampoo,FMCG,20-11-2023,40,1,Very bad experience,381.97
PROD8744,HUL,Soap,FMCG,06-09-2023,119,5,Value for money,831.89
PROD7939,Reliance,Soap,FMCG,28-07-2023,107,4,Loved it,186.77
PROD7596,Reliance,Soap,FMCG,28-01-2023,354,1,Not worth it,997.51
PROD4006,Patanjali,Shampoo,FMCG,09-04-2023,107,2,Stopped working,827.61
PROD1828,Patanjali,Soap,FMCG,08-02-2023,236,5,Excellent product,1221.63
PROD7570,Reliance,Shampoo,FMCG,02-05-2023,95,4,Very good quality,639.3
PROD7930,Godrej,Shampoo,FMCG,02-01-2023,209,4,Loved it,434.54
PROD1998,Patanjali,Shampoo,FMCG,01-06-2023,121,5,Value for money,1454.63
PROD1931,Tata,Shampoo,FMCG,27-10-2023,254,5,Very good quality,779.13
PROD2964,Tata,Shampoo,FMCG,01-11-2023,44,2,Stopped working,1029.06
PROD9565,ITC,Toothpaste,FMCG,21-01-2023,327,5,Value for money,168.88
PROD3144,Patanjali,Soap,FMCG,09-12-2023,376,3,Neutral feeling,505.57
