Product_ID,Brand,Product_Name,Category,Date,Units_Sold,Rating,Review,Price_Per_Unit
PROD9613,Amul,Toothpaste,FMCG,2023-07-23,123,2,Not worth it,1137.75
PROD2972,ITC,Wheat Flour,Grocery,2023-01-17,267,2,Stopped working,553.57
PROD2650,Godrej,Earphones,Electronics,2023-06-11,362,2,Stopped working,62.21
PROD8722,ITC,Wheat Flour,Grocery,2023-05-13,105,2,Very bad experience,845.42
PROD6981,Amul,Smartphone,Electronics,2023-04-05,265,4,Loved it,664.72
PROD2636,Godrej,Wheat Flour,Grocery,2023-04-03,302,5,Very good quality,240.15
PROD3389,Reliance,Smartphone,Electronics,2023-05-01,294,4,Very good quality,676.72
PROD9748,Godrej,Smartwatch,Electronics,2023-01-05,100,2,Disappointed,661.2
PROD7527,Reliance,Smartphone,Electronics,2023-09-07,163,5,Excellent product,413.91
PROD8370,Patanjali,Toothpaste,FMCG,2023-01-31,120,4,Excellent product,1230.04
PROD1324,Amul,Smartphone,Electronics,2023-07-04,194,3,Fine,862.51
PROD3859,Amul,Basmati Rice,Grocery,2023-12-14,320,5,Value for money,338.49
PROD7243,Amul,Wheat Flour,Grocery,2023-12-11,271,4,Excellent product,756.87
PROD7911,Godrej,Smartphone,Electronics,2023-11-20,499,2,Very bad experience,260.03
PROD6629,ITC,Earphones,Electronics,2023-07-27,444,1,Poor quality,1365.26
PROD5444,Amul,Soap,FMCG,2023-12-01,159,5,Works well,1080.13
PROD4012,HUL,Wheat Flour,Grocery,2023-10-28,276,4,Very good quality,1450.01
PROD3734,HUL,Shampoo,FMCG,2023-05-01,348,1,Poor quality,414.89
PROD1431,Tata,Basmati Rice,Grocery,2023-02-02,489,5,Excellent product,1324.1
PROD7387,Reliance,Cooking Oil,Grocery,2023-02-12,63,2,Not worth it,430.56
PROD3795,Patanjali,Basmati Rice,Grocery,2023-05-26,236,2,Disappointed,958.4
PROD9856,HUL,Shampoo,FMCG,2023-07-02,450,4,Works well,1377.14
PROD8480,Godrej,Cooking Oil,Grocery,2023-03-11,495,2,Disappointed,1061.55
PROD6688,HUL,Earphones,Electronics,2023-10-16,232,5,Loved it,809.02
PROD3551,Patanjali,Cooking Oil,Grocery,2023-02-15,236,4,Loved it,496.41
PROD5698,Tata,Basmati Rice,Grocery,2023-09-25,427,2,Very bad experience,1149.53
PROD1149,Tata,Cooking Oil,Grocery,2023-12-19,482,4,Loved it,763.3
PROD7745,ITC,Wheat Flour,Grocery,2023-04-29,417,3,Average product,60.47
PROD4614,Godrej,Smartphone,Electronics,2023-05-08,93,4,Works well,1086.66
PROD5664,Godrej,Basmati Rice,Grocery,2023-11-17,132,5,Loved it,799.08
PROD3238,ITC,Earphones,Electronics,2023-05-18,221,1,Poor quality,322.6
PROD4076,HUL,Basmati Rice,Grocery,2023-08-22,326,5,Works well,706.51
PROD5410,Patanjali,Basmati Rice,Grocery,2023-01-26,283,1,Very bad experience,82.09
PROD4558,Godrej,Toothpaste,FMCG,2023-01-05,129,1,Stopped working,180.79
PROD2314,Amul,Wheat Flour,Grocery,2023-09-13,200,1,Very bad experience,722.34
PROD5097,Amul,Shampoo,FMCG,2023-07-20,46,2,Poor quality,837.63
PROD1549,Tata,Basmati Rice,Grocery,2024-01-01,137,4,Very good quality,607.96
PROD7375,HUL,Soap,FMCG,2023-02-18,276,2,Stopped working,1015.71
PROD3001,Amul,Smartphone,Electronics,2023-03-23,332,5,Value for money,1105.94
PROD2850,HUL,Wheat Flour,Grocery,2023-06-02,111,1,Poor quality,572.62
PROD2960,Godrej,Toothpaste,FMCG,2023-06-16,17,3,Could be better,292.67
PROD3539,Tata,Basmati Rice,Grocery,2023-01-22,307,4,Value for money,1186.04
PROD1983,Patanjali,Basmati Rice,Grocery,2023-03-22,265,5,Loved it,182.53
PROD8992,HUL,Soap,FMCG,2023-03-20,369,1,Poor quality,827.71
PROD1349,ITC,Soap,FMCG,2023-11-27,397,4,Very good quality,553.61
PROD5828,Amul,Smartphone,Electronics,2023-03-10,138,4,Works well,1353.06
PROD8674,Godrej,Earphones,Electronics,2023-04-08,300,3,Fine,320.61
PROD5844,Reliance,Cooking Oil,Grocery,2023-10-11,92,2,Stopped working,149.87
PROD4039,Amul,Cooking Oil,Grocery,2023-08-21,10,5,Works well,1175.08
PROD9830,Reliance,Toothpaste,FMCG,2023-07-06,407,3,It’s okay,949.29
PROD5638,ITC,Basmati Rice,Grocery,2023-12-16,264,2,Disappointed,1160.31
PROD3126,HUL,Wheat Flour,Grocery,2023-06-14,66,1,Not worth it,189.57
PROD7366,Patanjali,Shampoo,FMCG,2023-02-24,258,1,Disappointed,327.84
PROD4616,ITC,Smartphone,Electronics,2023-11-16,369,1,Very bad experience,905.94
PROD8668,Tata,Earphones,Electronics,2023-01-07,486,4,Excellent product,1385.5
PROD1955,Amul,Smartwatch,Electronics,2023-10-13,390,4,Loved it,1410.45
PROD4537,ITC,Smartphone,Electronics,2023-01-21,385,3,It’s okay,152.06
PROD5075,Tata,Smartwatch,Electronics,2023-04-29,282,2,Disappointed,608.73
PROD6864,Patanjali,Earphones,Electronics,2023-10-13,393,1,Disappointed,859.31
PROD7579,HUL,Smartphone,Electronics,2023-12-07,228,2,Poor quality,1330.09
PROD6163,HUL,Smartphone,Electronics,2023-03-22,283,4,Loved it,1497.73
PROD4943,Reliance,Smartphone,Electronics,2023-07-10,221,4,Loved it,1158.07
PROD8412,Patanjali,Earphones,Electronics,2023-07-12,402,3,Fine,847.85
PROD5945,Tata,Wheat Flour,Grocery,2023-01-18,155,5,Very good quality,913.86
PROD9376,Patanjali,Soap,FMCG,2023-04-20,448,3,Could be better,506.61
PROD3267,ITC,Earphones,Electronics,2023-03-21,58,3,Average product,104.72
PROD7550,ITC,Wheat Flour,Grocery,2023-05-08,129,3,It’s okay,421.55
PROD8999,HUL,Smartwatch,Electronics,2023-02-09,380,4,Very good quality,520.8
PROD7251,ITC,Earphones,Electronics,2023-02-18,314,1,Disappointed,981.27
PROD2974,Reliance,Shampoo,FMCG,2023-06-21,188,4,Works well,1325.7
PROD5993,HUL,Toothpaste,FMCG,2023-11-05,485,4,Excellent product,66.58
PROD3509,Amul,Smartwatch,Electronics,2023-10-04,299,5,Very good quality,266.89
PROD2475,HUL,Toothpaste,FMCG,2023-07-21,238,5,Value for money,1141.62
PROD1807,Amul,Soap,FMCG,2023-07-21,85,1,Stopped working,241.67
PROD8879,Amul,Smartphone,Electronics,2023-02-13,214,2,Poor quality,777.64
PROD9589,Godrej,Smartwatch,Electronics,2023-07-22,343,5,Value for money,878.43
PROD2843,Tata,Shampoo,FMCG,2023-05-17,407,5,Excellent product,673.6
PROD1396,Godrej,Smartphone,Electronics,2023-07-07,188,3,Could be better,326.21
PROD3389,Amul,Basmati Rice,Grocery,2023-11-12,430,4,Value for money,1485.73
PROD2841,Reliance,Basmati Rice,Grocery,2023-04-30,112,2,Not worth it,1043.77
PROD6624,Patanjali,Smartwatch,Electronics,2023-11-14,484,3,It’s okay,264.13
PROD4471,Amul,Smartwatch,Electronics,2023-08-19,251,2,Disappointed,82.98
PROD7170,ITC,Toothpaste,FMCG,2023-05-13,290,2,Not worth it,750.39
PROD5444,ITC,Earphones,Electronics,2023-01-23,140,3,Average product,296.96
PROD2767,HUL,Soap,FMCG,2023-01-05,44,3,Fine,613.54
PROD2631,Reliance,Soap,FMCG,2023-11-29,207,4,Value for money,385.19
PROD8503,Reliance,Wheat Flour,Grocery,2023-11-02,282,2,Disappointed,177.63
PROD9027,Tata,Earphones,Electronics,2023-01-21,136,3,Fine,1387.29
PROD4869,Patanjali,Cooking Oil,Grocery,2023-01-10,187,3,Fine,1042.25
PROD5590,Reliance,Smartphone,Electronics,2023-02-01,330,4,Excellent product,423.64
PROD4726,Amul,Shampoo,FMCG,2023-07-21,346,4,Value for money,249.03
PROD8359,ITC,Basmati Rice,Grocery,2023-03-20,228,5,Loved it,1457.28
PROD6062,Patanjali,Smartwatch,Electronics,2023-12-01,80,2,Poor quality,892.49
PROD3589,ITC,Earphones,Electronics,2023-03-11,230,2,Disappointed,1493.74
PROD3384,ITC,Basmati Rice,Grocery,2023-09-30,495,2,Very bad experience,1093.19
PROD8258,Reliance,Smartwatch,Electronics,2023-06-13,460,4,Loved it,1460.7
PROD4026,HUL,Earphones,Electronics,2023-05-21,87,1,Poor quality,1179.71
PROD4804,ITC,Toothpaste,FMCG,2023-05-17,320,2,Disappointed,872.21
PROD9230,Tata,Toothpaste,FMCG,2023-07-03,50,4,Very good quality,1047.8
PROD8763,HUL,Smartphone,Electronics,2023-11-29,201,4,Works well,316.77
